Title,Category 1,Category 2,Category 3,Description
"MaryRuth Organics, Immunity Gummies, Pectin Based, Cherry, 90 Gummies",MaryRuth Organics,Vitamin C,Immune Formulas,"Non GMOZinc 9 mg70 mg Elderberry ExtractVegan210 mg Vit C300 mg Echinacea Purpurea RootPectin BasedNatural FlavorA Dietary SupplementNut FreeSoy FreeGluten FreeNo GelatinElderberry, Zinc, Echinacea and Vitamin C are all known for helping to support the body’s natural defenses! Elderberries contain high levels of flavonoids and are known for their antioxidant properties, while Zinc is known for its role in cellular metabolism and the maintenance of skin integrity. Vitamin C and Echinacea have both been shown to support white blood cell production, cells which are important in immune response. Vitamin D supports the body’s antimicrobial response and is important in modulating certain immune functions. Enjoy this blend of dietary essentials, Vitamin C and Zinc, in conjunction with Vitamin D and herbals, Elderberry and Echinacea, in a delicious chewable gummy!"
"Doctor's Best, High Absorption CoQ10 with BioPerine, 300 mg, 90 Veggie Softgels",Doctor's Best,Coenzyme Q10 (CoQ10),,"Science Based Nutrition™Naturally Fermented Proven PotencyDietary SupplementHeart & EnergyVegetarianNon-GMO/Gluten Free/Soy FreeDoctor's Best High Absorption CoQ10 contains pure coenzyme Q10 (Ubiquinone) plus BioPerine® CoQ10 helps support heart function and is vital to the production of ATP (adenosine triphosphate), especially in the heart. Stress, free radicals, statin medications, and aging can impact CoQ10 levels. CoQ10 is very important for the creation of energy, muscular contraction and the synthesis of protein. Studies have shown that BioPerine® increases CoQ10 absorption. In the Q-Symbio clinical study involving 420 participants, heart health and overall well-being were enhanced by 43%.Helps support heart health and cellular energyHelps restore CoQ10 that may be depleted by aging and statin drugs▲Formulated with BioPerine black pepper extract to enhance absorption and bioavailability▲COQ10 is not intended to serve as a replacement for statin therapy, nor should you discontinue taking any prescribed medications while supplementing with CoQ10."
"Jarrow Formulas, Resveratrol, 100 mg, 120 Veggie Caps",Jarrow Formulas,Resveratrol,,"Value Size100 mg Total Resveratrol From Polygonum CuspidatumSupports Cardiovascular FunctionDietary SupplementVeganNon GMO - Certified by NSFJarrow Formulas® Resveratrol contains 100 mg of resveratrol (3,4',5-trihydroxystilbenes) and resveratrol glucosides (piceids) extracted from Hu zhang (""tiger cane"") root, also known as Polygonum cuspidatum. Jarrow Formulas® Resveratrol provides approximately 90% resveratrol in the trans configuration.As an antioxidant, resveratrol supports cardiovascular function."
"Amazing Nutrition, Selenium, 200 mcg, 240 Tablets",Amazing Nutrition,Selenium,,"Amazing Formulas™Dietary SupplementPromotes Cell Health & Immune FunctionSupports Cardiovascular HealthSupports Healthy Thyroid FunctionSuitable for VegetariansGMP - Good Manufacturing Practice Quality ProductWe believe that Amazing Nutrition® is the key for Healthy Living. We are passionate about bringing you the finest selection of products which can perfectly complement a healthy diet and active lifestyle.Amazing Formulas™ Selenium has antioxidant properties that support cell health and healthy aging. Some studies suggest that selenium taken daily may help improve immune function and cognitive health. In addition, selenium also supports healthy thyroid function, cardiovascular health and prostate wellness."
"Swanson, Ultimate Ashwagandha, 250 mg , 60 Veggie Capsules",Swanson,Ashwagandha,,"Stress Support KSM-66®Herbal Supplement Supports a Healthy, Natural Response to Daily Stress Enhances Mental and Physical Vitality Science-Backed Quality Since 1969 Stress-proof your mind and body with the high-powered adaptogenic support of Swanson Ultra Ultimate Ashwagandha. For thousands of years, Ayurvedic herbalists have treasured ashwagandha as a way to enhance mental and physical vitality, reinforce the immune system and mitigate the effects of stress."
"Jigsaw Health, MagSRT B-Free, Time-Release Magnesium, 240 Tablets",Jigsaw Health,Magnesium,,"America's #1 Time-Release Magnesium Supplement**It's Fun to Feel Good8 Hour Sustained Release TechnologyRelief from Occasional Leg Cramps and Muscle Tension100% Non-GMO IngredientsGluten FreeSoy FreeVeganPhysician ApprovedLabel Claim VerifiedMagnesium SupplementMagSRT® B-Free** by Jigsaw Health releases Albion® premier patented dimagnesium malate gently into your body over an extended period of time. This highly absorbable magnesium in a sustained release form results in a product that provides all the whole health benefits of magnesium without the common digestive discomfort associated with nearly all other magnesium supplements.**This formula is based off the top-rated, best-selling, clinically tested MagSRT® formula, but does not include any active B vitamins. MagSRT® was clinically tested in a placebo-controlled, human clinical trial."
"NOW Foods, Prenatal Gels + DHA, 90 Softgels",NOW Foods,Prenatal Multivitamins,Pre & Post-Natal Formulas,Multi Vitamin & MineralWith 250 mg DHA per Serving to Support Healthy Eye and Brain DevelopmentPlus Borage Oil (GLA)A Dietary SupplementKosher - Contains GelatinFamily Owned Since 1968GMP Quality Assured
"Crystal Star, Liver Renew, 90 Vegetarian Capsules",Crystal Star,Liver Formulas,,Estd. 1978Detox and Restore21 Whole HerbsNon-GMO ProductVegetarian Friendly3rd Party TestedDietary SupplementRejuvenates Liver FunctionPromotes Toxin ReleaseBurdock Root & Milk Thistle
"Zhou Nutrition, Energy + Focus, 60 Veggie Capsules",Zhou Nutrition,Cognitive & Memory Formulas,Energy Formulas,"Caffeine + L-TheanineDietary SupplementLab VerifiedVeganGreatness by Nature™Focused Energy Support for Mind & BodyGluten FreeMade With Non-GMO IngredientsSupports Smooth & Jitter Free EnergyIt’s no secret that caffeine can provide some much needed energy throughout the day. That’s why people turn to coffee and energy drinks when they need an extra boost. It’s also no secret that these drinks come with a few side effects — they can leave you feeling jittery, stressed and over-stimulated. Not to mention the extra sugar associated with many drinks. Enter L-theanine, caffeine’s natural soul mate. While caffeine is a stimulant, L-theanine is a non-protein amino acid that helps to calm down the stress-response produced by caffeine without limiting the energy boost. In other words, L-theanine brings out the best of caffeine and helps minimize the worst of it. With Energy + Focus you get a smoother, more focussed energy boost."
"Nature's Life, Magnesium Plus Vitamin B-6, 500 mg, 180 Vegetarian Capsules",Nature's Life,Magnesium,,"Sun Food Energy®Muscle & Nerve SupportNon-GMODietary SupplementQuality You Can Trust™Discussion: Magnesium is a vital mineral that is involved in over 300 biochemical processes in the body and helps support healthy muscle, nerve, bone and heart function. Magnesium is found in many foods such as green leafy vegetables, legumes and nuts, but a large percentage of individuals are still magnesium deficient."
"Flora, Certified Organic Elderberry + With Echinacea, Immune Support,  8.5 fl oz (250 ml)",Flora,Elderberry Sambucus,Immune Formulas,"Gluten-Free + Vegan + No Added SugarUSDA OrganicLiquid FormulaDietary SupplementNon GMO Project VerifiedCertified Organic by QAITastes GreatPromotes a Healthy Immune SystemIs Convenient - Just Mix in Your Favorite BeverageKosher CheckImmune SupportFlora's Elderberry+ is a delicious, organic blend of elderberry, echinacea, and licorice and provides a burst of antioxidants and immune support when seasonal issues strike. Flora's organic Elderberry+ should be taken at the first sign of seasonal symptoms to help maintain a healthy immune system. Enjoy the delicious, natural flavor of Elderberry+ with no added sugar. Just mix in water or your favorite beverage for an immune boosting punch."
"NutraChamps, L-Arginine, 60 Easy-to-Swallow Veggie Capsules",NutraChamps,L-Arginine,,"Extra Strength Nitric Oxide BoosterSupport Energy - Heart Health - StaminaPremium Nitric Oxide BoosterBoost Power, Pumps & PerformanceContains L-Arginine HCI, AAKG & L-Citrulline MalateEnhanced with Grape Seed Extract & Ginger RootCirculation FormulaDietary SupplementVeganNon GMOTested Lab VerifiedGMP Certified FacilityHeart Health HeroWith Grape Seed Extract & GingerPremium L-Arginine ComplexIncrease blood flow, vascularity, muscle growth, performance, and even drive. With this powerful L-Arginine formula on your side, get ready to work longer, harder, and more efficiently."
"Natural Balance, Ginseng Powermax 6X, 50 VegCaps",Natural Balance,Ginseng,,"Plant BasedGuaranteed Potency6 Energizing IngredientsExtra StrengthGuaranteed PotencyDietary Supplement100% Action Labs FormulatedThe Ginseng PowerMax® 6X™ Formula High Concentration, Ginseng Blend Red Chinese Ginseng, Korean Ginseng and American Ginseng are included in this formula because of their long history of multiple body systems support.Maca – Maca is a root indigenous to South America.Rhodiola – Rhodiola has traditionally been used as an adaptogen.Actions Labs® Formulated is a designation that identifies special Natural Balance® products that are formulated to address specific concerns and meet our exacting quality standards. The Action Labs® Formulated product line represents a diversified, high-quality line of products that customers rely on for particular needs.Feeling tired and foggy? Struggling to maintain your youthful energy? Natural Balance® provides an alternative to managing fatigue with guaranteed potency Ginseng Power Max® 6X™. Ginseng PowerMax® 6X™ is a unique combination of six energizing ingredients (3 ginsengs plus maca, rhodiola and eleuthero) synergistically blended for optimal support. This formula offers one of the highest concentrations of guaranteed potency ginseng available.Discover Natural Balance®Since 1983, Natural Balance® has energized people's health and well being by offering specialty supplements. Scientifically blending select high-quality ingredients into proprietary formulas is our art. Helping people live healthier, more enjoyable lives is our passion."
"Quest Nutrition, Hero Protein Bar, Crispy Blueberry Cobbler, 12 Bars, 2.12 oz (60 g)",Quest Nutrition,Protein Bars,,"1 g Sugar | 16 g Protein | 3 g Net Carbs* Per Bar Kosher DairyCertified Gluten Free Quest Nutrition is on a mission to make the foods you crave work for you not against you. That´s why we only use complete, dairy-based proteins to provide your body with all nine of the essential amino acids it needs. We use custom recipes to create our own chocolate flavored coating, protein crisp and other inclusions to make every bite as delicious as your cravings. *30 g Total Carbs - 10 g Fiber - 13 g Allulose - 4 g Erythritol = 3 g Net Carbs"
"Universal Nutrition, ZMA Pro, 90 Capsules",Universal Nutrition,Zinc Magnesium Aspartate,,"Patented Mineral ComplexSport SeriesZn ZincB6 Vitamin B6Mg MagnesiumDietary SupplementEnhanced Absorption SystemActive Lifestyle FormulaWho We Are Founded in 1977, we are a family-run company that has been formulating and manufacturing proven nutritional products for dedicated athletes. Our products are found in over 90 countries around the world. Sport Series Throughout our long history, wee focused on providing solutions for elite weightlifters. Our new Sport Series is targeted for any athlete who relies on the benefits of resistance training containing Zinc Magnesium Aspartate, a precise and specific combination of unique forms of zinc, magnesium, and vitamin B6. Anecdotal reports show that athletes who supplement with ZMA® notice improvements in sleep and recovery. Zinc Magnesium Aspartate is the original zinc-magnesium supplement and the only one validated by published research."
"Too Cool for School, Pumpkin 24K Gold Beauty Mask, 1 Sheet, 0.88 oz (25 g)",Too Cool for School,Brightening Masks,K-Beauty Face Masks & Peels, Vitality and Radiance Pumpkin and Double Gold Premium Mask24K yellow and white gold provide vitality and radiance to your skin. Nutritious pumpkin extract and naturally derived enzymes remove dead skin cells for smooth and soft skin. Highly functional biocellulose sheet perfectly adheres onto the face to help deliver active ingredients inside your skin.
